,X,Y
225,38.638474,-77.366822
226,37.613957,-77.548269
227,38.843847,-77.429092
228,38.784492,-77.496803
229,39.180176,-78.122819
230,37.266153,-79.882489
231,36.757428,-78.056517
232,38.685483,-77.427046
233,38.961413,-77.388075
234,38.816534,-77.622749
235,37.081794,-76.410271
236,37.433802,-77.648833
237,36.604242,-76.136373
238,36.735194,-76.58206
239,37.467999,-79.845869
240,38.81629,-77.047872
241,37.804436,-78.627091
242,36.605008,-76.140459
243,37.050109,-76.396197
244,36.641773,-76.168021
245,36.805282,-81.578714
246,37.401999,-77.655367
247,38.901643,-77.135986
248,37.358371,-77.482326
249,37.387982,-77.442278
250,37.060739,-76.446701
251,36.937452,-79.235879
252,36.686607,-76.218281
253,36.729431,-76.2411
254,36.70875,-77.049118
255,38.687097,-77.325046
256,37.569477,-79.069466
257,36.805105,-76.25489
258,37.031992,-76.395309
259,36.700694,-81.8867
260,36.686607,-76.218281
261,36.847871,-76.438763
262,37.058769,-76.398953
263,38.682519,-77.331325
264,37.019915,-76.368466
265,37.067314,-76.382252
266,38.737606,-77.106311
267,37.379388,-77.662661
268,38.855474,-77.069784
269,38.765294,-77.462383
270,38.464147,-77.429614
271,37.293716,-77.299174
272,37.456154,-77.509839
273,38.720068,-77.202887
274,38.847922,-77.329584
275,36.858335,-76.407819
276,38.308338,-77.608544
277,38.651249,-77.343953
278,38.811348,-77.127357
279,37.328084,-79.943853
280,39.00534,-77.400545
281,36.860679,-76.224271
282,37.388717,-77.478088
283,38.672335,-77.34458
284,38.437604,-77.423825
285,38.840193,-77.410732
286,37.388717,-77.478088
287,37.490391,-77.528347
288,38.637904,-77.280827
289,37.486651,-77.539696
290,37.382195,-77.478852
291,38.265696,-77.562929
292,36.858878,-76.381705
293,38.838656,-77.060375
294,38.787276,-77.108105
295,38.791795,-77.292948
296,38.788744,-77.28842
297,37.317978,-77.452814
298,38.946043,-77.373079
299,38.99959,-77.413334
300,39.004201,-77.426483
301,38.594973,-77.303252
302,38.377648,-78.958448
303,38.742384,-77.577332
304,38.792413,-77.259526
305,36.934046,-76.525383
306,37.373464,-77.665883
307,38.77498,-77.474276
308,38.793247,-77.479222
309,38.808918,-77.203774
310,38.50223,-77.367821
311,39.00654,-77.425185
312,38.673507,-77.346512
313,38.670818,-77.346078
314,38.856279,-77.121806
315,38.443748,-78.873342
316,38.842186,-77.633101
317,38.741456,-77.092465
318,38.736867,-77.564241
319,38.770883,-77.468976
320,38.793389,-77.479155
321,36.708181,-76.18931
322,36.708181,-76.18931
323,36.762732,-76.208256
324,36.840551,-76.371189
325,36.798974,-76.3325
326,39.090638,-77.589172
327,37.11279,-77.434228
328,38.461883,-77.492406
329,38.833221,-77.064704
330,39.029856,-77.383002
331,38.833221,-77.064704
332,36.91312,-76.297465
333,38.692897,-77.426734
334,36.588855,-76.684182
335,38.654594,-77.383768
336,38.316459,-77.498271
337,38.920176,-77.407988
338,38.956517,-77.395929
339,38.662909,-77.376109
340,37.356214,-76.776993
341,36.822224,-76.360027
342,36.732752,-76.360648
343,36.90109,-76.279136
344,36.823827,-76.647033
345,36.994965,-76.387496
346,37.28978,-79.266196
347,38.682067,-77.289202
348,38.812009,-77.304785
349,38.876272,-77.421939
350,36.823772,-76.350476
351,37.277467,-80.05753
352,38.821775,-77.041347
353,36.699767,-76.248555
354,38.155113,-78.421196
355,39.185752,-78.158867
356,37.42875,-77.397509
357,38.827191,-77.047731
358,38.815671,-77.210065
359,37.577839,-77.402925
360,38.80412,-77.080392
361,36.748407,-76.552359
362,37.487291,-77.655942
363,37.849915,-77.502049
364,38.990111,-77.341304
365,37.589,-77.448146
366,38.547021,-77.802889
367,38.70378,-77.794533
368,37.590004,-77.454054
369,38.961125,-77.361708
370,37.344531,-79.939661
371,37.567425,-77.424531
372,37.488977,-77.654982
373,38.830032,-77.0944
374,36.80278,-81.463139
375,37.150819,-80.537511
376,37.152247,-80.430558
377,37.437352,-79.84445
378,37.951927,-122.35013
379,37.027169,-76.317273
380,38.463729,-77.418082
381,37.539085,-77.552335
382,37.955313,-78.100985
383,38.707805,-77.212825
384,37.21386,-77.781288
385,36.975917,-81.096675
386,39.31084,-78.289181
387,36.812731,-76.272499
388,38.454299,-78.80291
389,37.926372,-78.342998
390,37.317971,-78.525091
391,36.648503,-81.925396
392,38.265464,-77.508416
393,38.743841,-77.783779
394,37.354823,-79.525934
395,37.320898,-79.871807
396,36.688396,-80.612013
